n_obs,signed_area,xcorr_optimal_lag,xcorr_max_corr,granger_best_lag,granger_best_pval,event_type,event_date,equity_ticker,pm_slug
2340,0.08483638296070363,1,0.08409183399047677,1.0,4.5e-05,GDP,2025-04-30 12:30:00+00:00,SPY,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
2340,0.08483638296070363,1,0.08409183399047677,1.0,4.5e-05,GDP,2025-04-30 12:30:00+00:00,SPY,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
2340,0.08483638296070363,1,0.08409183399047677,1.0,4.5e-05,GDP,2025-04-30 12:30:00+00:00,SPY,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
1861,0.1000440279151905,1,0.09330599499876781,1.0,5.1e-05,GDP,2025-05-01 16:00:00+00:00,SPY,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
1929,0.09545242085661132,0,0.1065398256518979,1.0,0.460978,GDP,2025-03-03 19:00:00+00:00,QQQ,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
3247,0.10571047654126561,0,0.0399618776175305,1.0,0.378198,GDP,2025-03-06 19:00:00+00:00,QQQ,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
3840,0.10206078459737808,-58,0.02018410621941393,2.0,0.837133,GDP,2025-03-17 17:00:00+00:00,QQQ,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4349,0.23768648741617032,-58,0.02440257035115141,3.0,0.577254,GDP,2025-03-18 16:30:00+00:00,QQQ,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4798,0.14873635845323796,-45,-0.014759541627470375,3.0,0.459213,GDP,2025-03-26 14:30:00+00:00,QQQ,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4528,-0.0052804281175057866,30,-0.01519506297938108,3.0,0.512942,GDP,2025-03-27 12:30:00+00:00,QQQ,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4528,-0.0052804281175057866,30,-0.01519506297938108,3.0,0.512942,GDP,2025-03-27 12:30:00+00:00,QQQ,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4528,-0.0052804281175057866,30,-0.01519506297938108,3.0,0.512942,GDP,2025-03-27 12:30:00+00:00,QQQ,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4528,-0.0052804281175057866,30,-0.01519506297938108,3.0,0.512942,GDP,2025-03-27 12:30:00+00:00,QQQ,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4381,-0.2651821475248497,0,-0.04592625705212069,7.0,0.107418,GDP,2025-04-01 17:00:00+00:00,QQQ,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4290,-0.24208291493444176,0,-0.040337887419902914,6.0,0.126646,GDP,2025-04-03 16:30:00+00:00,QQQ,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
3840,-0.1756969155754864,-49,-0.1257271012993699,1.0,0.817911,GDP,2025-04-16 17:00:00+00:00,QQQ,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
3450,-0.17561487194491476,-49,-0.12626041368736976,1.0,0.825024,GDP,2025-04-17 14:30:00+00:00,QQQ,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4260,-0.05141268969413557,0,-0.08229744428793868,1.0,0.039973,GDP,2025-04-24 17:00:00+00:00,QQQ,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
2342,0.04567146992547677,17,0.07340857964269784,1.0,0.537212,GDP,2025-04-29 14:30:00+00:00,QQQ,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
